work_dedication,salary_comparison_last_semester,profile_level_study,profile_gender,profile_experience_range,list_of_normalized_languages,usd_monthly_gross_salary
full-time,4,,M,1-2,"['css', 'html', 'java', 'javascript', 'sql', 'typescript']",3431.0548587549083
full-time,2,,M,1-2,"['javascript', 'php', 'python']",457.4739811673211
full-time,2,,M,1-2,"['css', 'html', 'javascript']",533.719644695208
full-time,3,Universitario,M,6-10,"['go', 'java']",2413.175250657619
full-time,1,Terciario,M,1-2,['java'],419.3511494033777
full-time,3,Universitario,M,3-5,"['html', 'javascript', 'sql', 'typescript']",598.5284586939118
full-time,4,Universitario,M,0-1,['java'],724.3338035149251
full-time,3,Universitario,M,10+,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",1257.4816057336739
full-time,1,Universitario,M,0-1,"['groovy', 'java', 'javascript']",848.2330067477412
full-time,3,Universitario,M,3-5,"['bash/shell', 'html', 'javascript', 'php', 'python', 'typescript']",1448.6676070298502
full-time,3,Universitario,M,3-5,"['html', 'javascript', 'php', 'sql']",594.7161755175174
full-time,3,,M,3-5,"['.net', 'sql']",762.4566352788685
full-time,2,,M,3-5,"['python', 'sql']",1143.6849529183028
full-time,2,Universitario,M,1-2,"['java', 'javascript', 'groovy']",724.3338035149251
full-time,4,,M,10+,['python'],1086.5007052723877
full-time,3,Universitario,M,0-1,"['python', 'sql', 'dax']",362.16690175746254
full-time,4,Universitario,M,10+,"['css', 'html', 'javascript', 'sql', 'typescript']",1143.6849529183028
full-time,3,,M,1-2,['bash/shell'],1067.439289390416
full-time,2,Universitario,M,1-2,['javascript'],1056.002439861233
full-time,3,,M,0-1,"['bash/shell', 'python', 'sql']",838.7022988067554
full-time,1,,M,10+,"['.net', 'c#', 'kotlin', 'sql']",587.0916091647288
full-time,3,,M,6-10,['sql'],773.8934848080515
full-time,3,,M,1-2,"['.net', 'c#', 'css', 'html', 'python', 'sql', 'vba']",735.7706530441081
full-time,3,,M,3-5,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",743.3952193968968
full-time,3,,M,6-10,"['.net', 'c#', 'html', 'javascript', 'typescript']",1715.5274293774542
full-time,3,,M,6-10,"['html', 'javascript', 'php', 'python', 'sql']",976.7069497922306
full-time,3,,M,6-10,"['.net', 'c#']",689.4590370172697
full-time,1,Universitario,M,3-5,['sql'],926.3848118638252
full-time,4,,M,10+,"['bash/shell', 'python']",1063.6270062140215
full-time,2,,M,6-10,"['bash/shell', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']",285.9212382295757
full-time,4,,M,3-5,['java'],496.10788761389193
full-time,3,Universitario,F,3-5,['python'],1296.1762799740764
full-time,3,Universitario,F,3-5,"['html', 'javascript', 'php', 'python']",304.9826541115474
full-time,3,Universitario,F,1-2,"['java', 'javascript', 'kotlin']",958.0953833250734
full-time,4,Universitario,F,0-1,"['javascript', 'sql']",388.8528839922229
full-time,3,,M,10+,"['bash/shell', 'html', 'javascript', 'php', 'sql']",1448.6676070298502
full-time,3,,M,10+,"['css', 'html', 'javascript', 'php', 'sql']",1067.439289390416
full-time,2,Universitario,M,10+,"['bash/shell', 'vba']",1017.8796080972894
full-time,3,,M,3-5,"['.net', 'c#', 'html', 'javascript', 'sql', 'vba']",1081.9831497083603
full-time,3,,M,6-10,"['html', 'javascript', 'php', 'sql', 'typescript']",4307.879989325607
full-time,4,,M,6-10,"['go', 'javascript', 'python', 'sql']",1029.3164576264726
full-time,4,,M,1-2,"['html', 'javascript', 'php']",1429.6061911478785
full-time,2,Universitario,M,3-5,"['css', 'html', 'javascript', 'python', 'sql']",1238.9920323281613
full-time,3,,M,1-2,"['html', 'javascript', 'sql']",648.0881399870382
full-time,3,Universitario,M,3-5,"['bash/shell', 'css', 'html', 'java', 'javascript', 'sql']",1200.8692005642179
full-time,2,Universitario,M,10+,"['bash/shell', 'html', 'php']",915.7104189699211
full-time,4,Universitario,M,10+,"['bash/shell', 'python']",2405.9319126224696
full-time,3,,M,3-5,"['html', 'php', 'sql']",957.9314551484885
full-time,2,Universitario,M,10+,"['html', 'java', 'javascript', 'php', 'sql', 'pl/sql']",876.8251305706988
full-time,1,,M,10+,"['css', 'html', 'java', 'javascript', 'sql']",1524.913270557737
full-time,3,,F,1-2,['typescript'],831.0777324539666
full-time,4,,F,3-5,"['html', 'java', 'javascript', 'php', 'sql', 'typescript']",1143.6849529183028
full-time,3,Universitario,F,6-10,"['html', 'java', 'javascript', 'sql']",1524.913270557737
full-time,2,Terciario,M,6-10,"['javascript', 'python', 'ruby']",978.6130913804277
full-time,4,,M,6-10,['java'],5909.038923411231
